id,code,name
1,011110,Coltivazione di cereali (escluso il riso)
2,011120,Coltivazione di semi oleosi
3,011130,Coltivazione di legumi da granella
4,011140,"Coltivazioni miste di cereali, legumi da granella e semi oleosi"
5,011200,Coltivazione di riso
6,011310,"Coltivazione di ortaggi (inclusi i meloni) in foglia, a fusto, a frutto, in radici, bulbi e tuberi in piena aria (escluse barbabietola da zucchero e patate)"
7,011320,"Coltivazione di ortaggi (inclusi i meloni) in foglia, a fusto, a frutto, in radici, bulbi e tuberi in colture protette (escluse barbabietola da zucchero e patate)"
8,011330,Coltivazione di barbabietola da zucchero
9,011340,Coltivazione di patate
10,011400,Coltivazione di canna da zucchero
11,011500,Coltivazione di tabacco
12,011600,Coltivazione di piante per la preparazione di fibre tessili
13,011910,Coltivazione di fiori in piena aria
14,011920,Coltivazione di fiori in colture protette
15,011990,Coltivazione di piante da foraggio e di altre colture non permanenti
16,012100,Coltivazione di uva
17,012200,Coltivazione di frutta di origine tropicale e subtropicale
18,012300,Coltivazione di agrumi
19,012400,Coltivazione di pomacee e frutta a nocciolo
20,012500,"Coltivazione di altri alberi da frutta, frutti di bosco e frutta in guscio"
21,012600,Coltivazione di frutti oleosi
22,012700,Coltivazione di piante per la produzione di bevande
23,012800,"Coltivazione di spezie, piante aromatiche e farmaceutiche"
24,012900,Coltivazione di altre colture permanenti (inclusi alberi di Natale)
25,013000,Riproduzione delle piante
26,014100,"Allevamento di bovini e bufale da latte, produzione di latte crudo"
27,014200,Allevamento di bovini e bufalini da carne
28,014300,Allevamento di cavalli e altri equini
29,014400,Allevamento di cammelli e camelidi
30,014500,Allevamento di ovini e caprini
31,014600,Allevamento di suini
32,014700,Allevamento di pollame
33,014910,Allevamento di conigli
34,014920,Allevamento di animali da pelliccia
35,014930,Apicoltura
36,014940,Bachicoltura
37,014990,Allevamento di altri animali nca
38,015000,Coltivazioni agricole associate all'allevamento di animali: attività mista
39,016100,Attività di supporto alla produzione vegetale
40,016201,Attività dei maniscalchi
41,016209,Altre attività di supporto alla produzione animale (esclusi i servizi veterinari)
42,016300,Attività che seguono la raccolta
43,016401,Pulitura e cernita di semi e granaglie
44,016409,Altre lavorazioni delle sementi per la semina
45,017000,"Caccia, cattura di animali e servizi connessi"
46,021000,Silvicoltura e altre attività forestali
47,022000,Utilizzo di aree forestali
48,023000,Raccolta di prodotti selvatici non legnosi
49,024000,Servizi di supporto per la silvicoltura
50,031100,Pesca in acque marine e lagunari e servizi connessi
51,031200,Pesca in acque dolci e servizi connessi
52,032100,"Acquacoltura in acqua di mare, salmastra o lagunare e servizi connessi"
53,032200,Acquacoltura in acque dolci e servizi connessi
54,051000,Estrazione di antracite e litantrace
55,052000,Estrazione di lignite
56,061000,Estrazione di petrolio greggio
57,062000,Estrazione di gas naturale
58,071000,Estrazione di minerali metalliferi ferrosi
59,072100,Estrazione di minerali di uranio e di torio
60,072900,Estrazione di altri minerali metalliferi non ferrosi
61,081100,"Estrazione di pietre ornamentali e da costruzione, calcare, pietra da gesso, creta e ardesia"
62,081200,"Estrazione di ghiaia, sabbia; estrazione di argille e caolino"
63,089100,Estrazione di minerali per l'industria chimica e per la produzione di fertilizzanti
64,089200,Estrazione di torba
65,089300,Estrazione di sale
66,089901,Estrazione di asfalto e bitume naturale
67,089909,Estrazione di pomice e di altri minerali nca
68,091000,Attività di supporto all'estrazione di petrolio e di gas naturale
69,099001,"Attività di supporto all'estrazione di pietre ornamentali, da costruzione, da gesso, di anidrite, per calce e cementi, di dolomite, di ardesia, di ghiaia e sabbia, di argilla, di caolino, di pomice"
70,099009,Attività di supporto all'estrazione di altri minerali nca
71,101100,Produzione di carne non di volatili e di prodotti della macellazione (attività dei mattatoi)
72,101200,Produzione di carne di volatili e prodotti della loro macellazione (attività dei mattatoi)
73,101300,Produzione di prodotti a base di carne (inclusa la carne di volatili)
74,102000,"Lavorazione e conservazione di pesce, crostacei e molluschi mediante surgelamento, salatura eccetera"
75,103100,Lavorazione e conservazione delle patate
76,103200,Produzione di succhi di frutta e di ortaggi
77,103900,Lavorazione e conservazione di frutta e di ortaggi (esclusi i succhi di frutta e di ortaggi)
78,104110,Produzione di olio di oliva da olive prevalentemente non di produzione propria
79,104120,Produzione di olio raffinato o grezzo da semi oleosi o frutti oleosi prevalentemente non di produzione propria
80,104130,Produzione di oli e grassi animali grezzi o raffinati
81,104200,Produzione di margarina e di grassi commestibili simili
82,105110,Trattamento igienico del latte
83,105120,Produzione dei derivati del latte
84,105200,Produzione di gelati senza vendita diretta al pubblico
85,106110,Molitura del frumento
86,106120,Molitura di altri cereali
87,106130,Lavorazione del riso
88,106140,Altre lavorazioni di semi e granaglie
