id,name,percent,species_id:id,group_id:id
500,Macchine agricole (compresi i trattori) 9%,9.00,300,1
501,"Impianti mobili di irrigazione - Carri agricoli e carri botte Attrezzatura di stalla e varia 12,50%",12.50,300,1
502,Mobili e macchine ordinarie d'ufficio 12% ,12.00,300,1
503,Macchine d'ufficio elettromeccaniche ed elettroniche compresi i computers e i sistemi telefonici elettronici 20% ,20.00,300,1
504,"Autoveicoli da trasporto (autoveicoli pesanti in genere, carelli elevatori, mezzi di trasporto interno, ecc) 20% ",20.00,300,1
505,"Autovetture, motoveicoli e simili 25% ",25.00,300,1
506,Fabbricati destinati all'industria (edifici) 3% ,3.00,301,1
507,"Costruzioni leggere (tettoie, baracche, ecc) 10% ",10.00,301,1
508,Macchinari operatori ed impianti 9% ,9.00,301,1
509,Attrezzatura varia e minuta 20% ,20.00,301,1
510,Mobili e macchine ordinarie d'ufficio 12% ,12.00,301,1
511,Macchine d'ufficio elettromeccaniche ed elettroniche compresi i computers e i sistemi telefonici elettronici 20% ,20.00,301,1
512,"Autoveicoli da trasporto (autoveicoli pesanti in genere, carrelli elevatori, mezzi di trasporto interno, ecc) 20% ",20.00,301,1
513,"Autovetture, motoveicoli e simili 25% ",25.00,301,1
514,Attrezzature e impianti (comprese le teleferiche) 15% ,15.00,303,1
515,Mobili e macchine ordinarie d'ufficio 12% ,12.00,303,1
516,Macchine d'ufficio elettromeccaniche ed elettroniche compresi i computers e i sistemi telefonici elettronici 20% ,20.00,303,1
517,"Autoveicoli da trasporto (autoveicoli pesanti in genere, carrelli elevatori, mezzi di trasporto interno, ecc) 20% ",20.00,303,1
518,"Autovetture, motoveicoli e simili 25% ",25.00,303,1
519,Fabbricati destinati all'industria (edifici) 3% ,3.00,304,1
520,"Costruzioni leggere (tettoie, baracche, ecc) 10% ",10.00,304,1
521,Macchine destinate al noleggio 9% ,9.00,304,1
522,Mietitrebbiattrici ed altre macchine operatrici20% ,20.00,304,1
523,"Trattrici e macchine per il movimento terra in agricoltura 12,5% ",12.50,304,1
524,"Officina di manutezione 6,5% ",6.50,304,1
525,Attrezzatura varia e minuta 20% ,20.00,304,1
526,Mobili e macchine ordinarie d'ufficio 12% ,12.00,304,1
527,Macchine d'ufficio elettromeccaniche ed elettroniche compresi i computers e i sistemi telefonici elettronici 20% ,20.00,304,1
528,Automezzi e aerei destinati esclusivamente alla difesa fitosanitaria delle colture 20% ,20.00,304,1
529,"Autoveicoli da trasporto (autoveicoli pesanti in genere, carrelli elevatori, mezzi di trasporto interno, ecc) 20% ",20.00,304,1
530,"Autovetture, motoveicoli e simili 25% ",25.00,304,1
531,Edifici (compresi quelli per il ricovero degli animali e silos) 3% ,3.00,305,1
532,Silos in materiale ferroso 8% ,8.00,305,1
533,Silos in materiale plastico10% ,10.00,305,1
534,"Costruzioni leggere (tettoie, baracche, ecc) 10% ",10.00,305,1
535,"Macchine per la preparazione degli alimenti, macchinari generici, attrezzatura di stalla e varia12,5% ",12.50,305,1
536,Macchine ed attrezzature di stalla altamente automatizzate20% ,20.00,305,1
537,Mobili e macchine ordinarie d'ufficio 12% ,12.00,305,1
538,Macchine d'ufficio elettromeccaniche ed elettroniche compresii computers e i sistemi telefonici elettronici 20% ,20.00,305,1
539,"Autoveicoli da trasporto (autoveicoli pesanti in genere, carrelli elevatori, mezzi di trasporto interno, ecc)20% ",20.00,305,1
540,"Autovetture, motoveicoli e simili 25% ",25.00,305,1
541,"Motopescherecci (completi di equipaggiamento) 12,5% ",12.50,306,1
542,"Attrezzatura particolare di pesca a bordo ed a terra (reti, tonnare, griglie, ecc)31,5% ",31.50,306,1
543,Mobili e macchine ordinarie d'ufficio 12% ,12.00,306,1
