id,name
300,"Specie 1a - Affittuari di fondi rustici, condotti a mezzadria con bracciantato o direttamente"
301,"Specie 2a - Industrie agrarie diverse, all'infuori della categoria degli affitti"
302,Specie 3a - Industrie agrarie esercitate da proprietari di fondi
303,Specie 4a - Aziende di utilizzazione del bosco (abbattimento e carbonizzazione)
304,Specie 5a - Esercizio di macchine agricole per conto terzi (incluso il noleggio)
305,"Specie 1a - Armentizia, allevamento cavalli, malghe, monta taurina, equina e suina ed altre industrie zootecniche"
306,"Specie 1a - Industria della pesca, compresa quella delle spugne e del corallo"
307,"Specie 2a - Allevamento di pesci e molluschi in acque marine (valli salse, laghi costieri, stagni litoranei, peschiere, lagune) ed in acque interne (valli, laghi, stagni, peschiere, fiumi)"
308,Specie 1° - Miniere di minerali di ferro e di minerali metalliferi non ferrosi
309,Specie 2° - Miniere di zolfo
310,Specie 3° - Miniere di combustibili fossili
311,Specie 4a -Miniere di combustibili liquidi e gassosi
312,"Specie 5a -Cave di marmo ed affini, di pietre da costruzione, di calcari, di marne, ecc"
313,"Specie 6a -Cave di sabbia, ghiaia e pietrisco"
314,"Specie 7a -Miniere di salgemma, sorgenti salate naturali e produzione di sale marino e di ebollizione (Vedi specie 2a)"
315,"Specie 1a -Brillatura del riso, pilatura ed altre lavorazioni di cereali e legumi, esclusa la molitura"
316,Specie 2a -Molitura di cereali
317,"Specie 3a -Panificazione, produzione di biscotti e di pasticcerie"
318,Specie 4a -Pastificazione
319,"Specie 5a/a -Lavorazione del cacao, produzione di cioccolata e confetture in genere, torrefazione del caffe, produzione di surrogati"
320,Specie 5a/b -Produzione di gelati
321,Specie 6a -Produzione e raffinazione dello zucchero
322,Specie 7a -Lavorazione e conservazione delle carni
323,Specie 8a -Lavorazione e conservazione dei prodotti alimentari della pesca
324,"Specie 9a -Conservazione e trasformazione di frutta, ortaggi, funghi e prodotti similari (marmellate, conserve di pomodoro, conserve alimentari in genere, dadi per brodo, ecc)"
325,"Specie 10a -Lavorazione del latte (caseifici, stagionatura del formaggio, lavorazione di mozzarelle ed altri latticini freschi, lavorazione del burro) e conservazione del latte"
326,"Specie 11a -Produzione di olio d'oliva e di semi, per spremitura, e di olii vegetali, con solventi"
327,Specie 12a -Raffinazione degli olii vegetali
328,"Specie 13a -Industria dei vini, concentrati ed aceti"
329,Specie 14a -Distillerie di alcole
330,Specie 15a -Produzione di liquori e affini 
331,"Specie 16a -Produzione di malto, birra ed estratti di malto"
332,Specie 17a -Produzione di bevande analcoliche gassate e di acque minerali artificiali
333,Specie 18a -Fabbricazione del ghiaccio ed esercizio di frigoriferi per conto terzi
334,Specie 1a -Prime lavorazione del legno (segherie)
335,"Specie 2a -Laboratori di falegnameria, di carpenteria in legno Fabbricazione di oggetti e di recipenti in legno (Vedi specie 1a)"
336,Specie 3a -Costruzioni e riparazione di veicoli in legno (Vedi specie 1a)
337,"Specie 4a -Cantieri navali per costruzioni, riparazioni demolizioni di navi in legno (Vedi specie 1a)"
