no_import,default_code,supplier_product_code,COD.ART.PROD.,name,GIAC.,GIAC.MIN.,IMP.,ORD.,PREAS.,U.M.,PRZ.LISTINO,SC. L.1,SC. L.2,SC. L.3,supplier_cost,ALTRI FORN.,RIC. 1,price,IVA,supplier_name,GRUPPO MERCEOLOGICO,MARCA,COD.SC.PROD.,SIGLA PROD.,COD.PROD.,PRODUTTORE,POS.MAG.,MOV.,COD.REP.,REPARTO,COD.SET.,SETTORE,COD.FAM.,FAMIGLIA,LINEA,COD.BARRE,COD.RAGGRUP.,E.C.,DATA INS
,1581,137935,, 930 COLLARE GRIGIO 16-32,0,0,0,0,0,N.,"0,1102",0,0,0,"0,1102",,30,"0,14326",22,COMET,,,0,,0,,,S,,,,,,,,,,,09/08/2011
,2871,2901435,, CONT.COMP.1 FORO D.22 M25,0,0,0,0,0,N.,"11,12",0,0,0,"11,12",,30,"14,456",22,COMET,,,0,,0,,,S,,,,,,,,,,,22/02/2012
,204,1293920,,0T250E04 SEZIONATORE 250A QUADRIPOLARE,0,0,0,0,0,N.,"85,6",0,0,0,"85,6",,30,"111,28",22,COMET,,,0,,0,,,S,,,,,,,,,,,04/05/2011
,4594,125371,,"1009 GUARNIZIONE GITIFLEX 1/2""",0,0,0,0,0,N.,"0,232",0,0,0,"0,232",,30,"0,3016",22,CAMBIELLI EDILFRIULI SPA,,,0,,0,,,S,,,,,,,,,,,09/11/2012
,4595,125372,,"1009 GUARNIZIONE GITIFLEX 3/8""",0,0,0,0,0,N.,"0,232",0,0,0,"0,232",,30,"0,3016",22,CAMBIELLI EDILFRIULI SPA,,,0,,0,,,S,,,,,,,,,,,09/11/2012
,2833,125393,,1076 GUARNIZ. CARTONE GHISA 1 1/4,0,0,0,0,0,N.,"0,04",0,0,0,"0,04",,30,"0,052",22,CAMBIELLI EDILFRIULI SPA,,,0,,0,,,S,,,,,,,,,,,15/02/2012
,812,RB00050,,"1601 VALVOLA SFERA MF 1/2"" LEVA",0,0,0,0,0,N.,"3,504",0,0,0,"3,504",,30,"4,5552",22,TERMOADRIATICA SRL,,,0,,0,,,S,,,,,,,,,,,15/06/2011
,858,ARE1984,,1984 FULCRON SGRASSANTE KG30,0,0,0,0,0,N.,"93,88",0,0,0,"93,88",,30,"122,044",22,TEKNOMECCANICA SRL,,,0,,0,,,S,,,,,,,,,,,16/06/2011
,5065,705232,,244032 MANIC. HTU DN32 L95,0,0,0,0,0,N.,"1,064",0,0,0,"1,064",,30,"1,3832",22,CAMBIELLI EDILFRIULI SPA,,,0,,0,,,S,,,,,,,,,,,12/06/2013
,860,CMZ253001,,"2530 1/4""-1/8"" ACCESSORI RACCORDERIA",0,0,0,0,0,N.,"0,31",0,0,0,"0,31",,30,"0,403",22,TEKNOMECCANICA SRL,,,0,,0,,,S,,,,,,,,,,,16/06/2011
